0,1,2,3,4,5,6,7,class
-412766,1075790,-662375,649,1619642,-996881,1465,130,0
125617,114716,-240333,0,148456,-311020,-1,124,1
135855,-107255,-27952,648,-1217875,-334109,-420,130,0
-943836,934084,13000,3248,1406818,16967,1884,130,0
-697477,244409,455017,1949,563900,1045478,627,130,0
34451,-135856,104653,3248,-1565180,1187500,-630,130,0
167706,185256,-351014,1948,864912,-1632212,417,130,0
1001037,-195658,-803431,1948,-302689,-1238612,-420,130,0
-138456,89053,51351,1948,1034166,578354,1046,130,0
-191758,-828132,1023788,3898,-1247410,1537110,-211,130,0
-481019,497268,-16251,-2,1439077,-49227,1255,130,0
-407566,-296412,705926,1948,-686442,1626764,208,130,0
601922,454367,-1056290,-1,699429,-1627603,627,130,0
-461518,-53953,515469,-2,-157314,1486837,628,130,0
558,-202,-355,1,-5853,-10279,1,124,1
101403,-137806,38351,1948,-1579215,426695,-421,130,0
-1073841,689025,387414,2598,1034376,578144,837,130,0
1083590,-489469,-593473,648,-737135,-893611,-211,130,0
51351,911984,-962037,1298,1375188,-1450599,1046,130,0
646,-188,-457,1,-357,-866,0,124,1
2310,-9491,7180,-1,-27119,20516,-1,124,1
330212,-53953,-276261,-2,-239637,-1279041,-2,130,0
961386,-687076,-274311,-1,-1134505,-450786,-631,130,0
-148206,919784,-772879,-1301,1521400,-1276108,1046,130,0
-1009488,824230,189157,3899,1252646,282788,1465,130,0
530419,137805,-669526,-1302,321331,-1547166,627,130,0
0,0,0,0,0,0,0,124,1
-976987,874932,105303,3248,1330361,156895,1466,130,0
235958,109854,-344513,1299,514255,-1599324,418,130,0
-303562,-3901,309411,1948,-16758,1422529,-1,130,0
-70492,40050,30441,-1,64081,48706,-1,124,1
665624,380914,-1047190,-652,585476,-1612731,627,130,0
-956836,874932,83853,1949,1348375,125474,1465,130,0
911334,-793030,-118955,-651,-1307529,-194601,-630,130,0
-200858,350363,-148856,649,1628021,-693774,836,130,0
438766,640273,-1078391,648,963155,-1623833,627,130,0
-564222,322412,242459,649,931734,696706,837,130,0
432266,98803,-531070,-1,287396,-1536064,-211,130,0
1082290,-582422,-500519,-651,-878319,-753264,-1,130,0
-662375,-398465,1066689,5849,-608519,1617338,626,130,0
-31852,-103354,137155,1949,-1181636,1567484,-420,130,0
-917835,137805,781329,1299,226858,1287628,836,130,0
-887284,64352,826180,3248,103688,1360106,836,130,0
0,0,0,0,0,0,0,124,1
9625,-2811,-6814,0,-8033,-19469,0,124,1
-483619,-11051,496618,1948,-33935,1431117,208,130,0
30000,30000,30000,90000,60000,60000,180000,124,1
-1077091,410165,668225,1299,616687,1001698,836,130,0
-549921,391964,157955,-2,1133037,452879,626,130,0
-156137,236390,-80252,1,305917,-103856,1,124,1
49401,-953586,908084,3899,-1449133,1377701,207,130,0
1067339,-642225,-425766,-652,-974677,-647900,-212,130,0
50051,-953586,907433,3898,-1449342,1377492,-1,130,0
-216,-344,560,0,-9943,16194,1,124,1
0,0,0,0,0,0,0,124,1
330,1025,-1355,0,11848,-15661,0,124,1
182813,-226626,43812,-1,-293281,56698,-1,124,1
54,86,-140,0,9943,-16194,-1,124,1
796929,-909385,113104,648,-1499197,187687,-421,130,0
-884,-4396,5281,1,-12694,15249,0,124,1
-40952,507018,-468018,-1952,1471545,-1350052,627,130,0
115704,230758,-344513,1949,1074175,-1602257,417,130,0
-797580,-233359,1036788,5849,-355057,1558476,626,130,0
-8440,8699,-259,0,24856,-740,0,124,1
254,404,-658,0,766,-1247,0,124,1
-20151,131304,-108555,2598,1525380,-1269196,1046,130,0
-182813,226626,-43812,1,293281,-56698,1,124,1
-469318,1080340,-611023,-1,1629278,-920633,1255,130,0
-1017289,772878,245709,1298,1189804,374746,836,130,0
-564222,1084890,-520020,648,1633468,-784476,1046,130,0
