0,1,2,3,4,5,6,7,class
-119605,-3251,125454,2598,-1395508,-35820,1431955,627,0
519369,556420,-1072541,3248,788874,844593,-1632631,836,0
-541471,663024,-119605,1948,-1252438,1534387,-280694,1255,0
-128705,-865833,999087,4549,-196695,-1306063,1502966,208,0
-674726,-393915,1074490,5849,-1017828,-597417,1615453,208,0
-128055,986736,-857383,1298,-196695,1503176,-1305434,1047,0
-3059,9683,-6624,0,-8740,27666,-18925,1,1
785879,258059,-1040689,3249,1182263,385010,-1566647,626,0
848931,15600,-864533,-2,1401791,24717,-1426509,-1,0
-1073841,687725,388064,1948,-1611683,1033119,579820,1256,0
677325,-520020,-156006,1299,1559733,-1199860,-360503,-630,0
797579,-1038739,243109,1949,1195670,-1562038,365948,-420,0
-943836,934084,13000,3248,-1422111,1406609,16967,1465,0
986086,-432267,-554471,-652,1629069,-715769,-913511,-211,0
65328,-9229,-56098,1,104525,-14767,-89757,1,1
646124,-1053690,410165,2599,990177,-1620691,629465,-1049,0
34451,101403,-133906,1948,382916,1184358,-1566228,1046,0
30000,30000,30000,90000,60000,60000,60000,180000,1
47451,463467,-510920,-2,135319,1342510,-1477202,627,0
-353614,181356,172906,648,-1632421,842708,790759,1046,0
-747529,934735,-187208,-2,-1232957,1544861,-310648,1256,0
522,-448,-73,1,15090,-12958,-2132,0,1
-62403,640273,-577222,648,-146631,1482647,-1334760,1256,0
899633,-963987,66952,2598,1361781,-1462329,100546,-2,0
-213859,-810581,1029638,5198,-325521,-1223530,1549469,418,0
-1144,1291,-147,0,-13214,14922,-1707,1,1
278210,769628,-1047190,648,419154,1158383,-1576492,1045,0
167706,-1013388,848931,3249,248434,-1522448,1274012,-2,0
30000,30000,30000,90000,60000,60000,60000,180000,1
0,122,-122,0,0,14145,-14145,0,1
171606,842431,-1014038,-1,258489,1267938,-1525800,627,0
-658475,-401716,1066689,6498,-1004422,-613127,1617967,418,0
-328913,50701,278860,648,-1518468,240055,1279249,836,0
-165107,-188508,354913,1298,-763528,-868684,1632211,-1,0
-249610,1040038,-789780,648,-374957,1564760,-1188758,1045,0
-45922,69526,-23603,1,-73476,111242,-37765,1,1
8820,-518,-8302,0,25201,-1480,-23721,0,1
30000,30000,30000,90000,60000,60000,60000,180000,1
668875,-1075141,408865,2599,1002955,-1618386,615221,-210,0
-666925,1072540,-404316,1299,-1006517,1617548,-609985,1046,0
66952,-888584,822280,648,111229,-1467357,1355707,-421,0
5172,-9896,4723,-1,14778,-28274,13496,0,1
1053689,-339963,-712427,1299,1600371,-517398,-1082974,-1,0
-53768,-12885,66654,1,-86030,-20617,106647,0,1
233773,-165491,-68281,1,302530,-214165,-88364,1,1
84503,55902,-138456,1949,960641,664237,-1623833,1045,0
454367,-1080341,629873,3899,679948,-1626765,946607,-210,0
-1065390,420565,649374,4549,-1620272,637215,984102,1045,0
65328,-9229,-56098,1,104525,-14767,-89757,1,1
607772,474517,-1080341,1948,916024,713254,-1629070,208,0
-768329,-278861,1053039,5849,-1155452,-421878,1577329,-1,0
-6429,9733,-3304,0,-18369,27810,-9441,0,1
1205,37,-1242,0,13927,427,-14354,0,1
-1409,608,801,0,-16283,7032,9251,0,1
-685126,192407,495318,2599,-1582567,444710,1138693,836,0
531719,136505,-668876,-652,1228766,317560,-1545699,627,0
237456,-151298,-86157,1,307296,-195798,-111497,1,1
139105,-41602,-96204,1299,1588431,-466287,-1122565,-421,0
-993888,876882,118304,1298,-1493122,1319677,174490,1045,0
-91654,-437467,529119,-2,-263936,-1264587,1527893,-630,0
5379,-1176,-4203,0,15534,-3396,-12138,0,1
545370,-664975,120904,1299,1255998,-1532712,276085,-629,0
360763,707226,-1066040,1949,542324,1063492,-1605190,626,0
40951,-957486,921084,4549,57604,-1442848,1385242,-2,0
1083590,-471268,-612323,-1,1628650,-709484,-919167,-1,0
1056289,-704627,-348414,3248,1603303,-1071663,-532061,-421,0
-1320,-4103,5423,0,-3813,-11848,15661,0,1
-234009,-112455,348413,1949,-1083184,-516770,1599952,-2,0
